domain,domain_rank,prospect_type,competitors_linked,competitors_list,example_url_from,example_page_title,linked_competitor_url,anchor,dofollow,spam_score,best_fit_asset,outreach_angle,priority
gvcvets.com,308,expat/migrant guide,1,paycalculator.com.au,https://gvcvets.com/team/moving-to-aus/,UK to Oz - Jack's Move - GVC,https://paycalculator.com.au/,calculator,yes,0,/average-salary-australia/,UK-to-Oz move story for vets; pitch take-home calculator,C
klubputnika.org,305,forum/community,1,paycalculator.com.au,https://www.klubputnika.org/forum/topic/14034-da-li-je-bolje-emigrirati/,Da li je bolje emigrirati? - Život i posao preko grane - Klub putnika,https://www.paycalculator.com.au/,https://www.paycalculator.com.au/,no,0,/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
freeoz.org,301,forum/community,1,paycalculator.com.au,https://www.freeoz.org/bbs/thread-1288194-1-1.html,工资与实发工资差额 - 工作学习 - FreeOZ论坛 - Powered by Discuz!,https://www.paycalculator.com.au/,https://www.paycalculator.com.au/,yes,20,/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
somersoft.com,281,forum/community,1,paycalculator.com.au,https://www.somersoft.com/threads/come-tax-time.72389/,Come tax time.... | Somersoft,http://www.paycalculator.com.au/,http://www.paycalculator.com.au/,no,10,/tax-return-calculator/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
propertyinvesting.com,254,forum/community,1,paycalculator.com.au,https://www.propertyinvesting.com/members/terryw/forums/replies/page/129/,Replies Created | Forums | Terryw | PropertyInvesting.com | Page 129,http://www.paycalculator.com.au/old.html,http://www.paycalculator.com.au/old.html,no,0,/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
postgraduateinbrisbane.com,242,expat/migrant guide,1,paycalculator.com.au,https://postgraduateinbrisbane.com/typical-australian-annual-income-is-approx-60k/,オーストラリアでは年収6万ドルくらいがよくある所得額です。,https://paycalculator.com.au/,https://paycalculator.com.au/,yes,0,/average-salary-australia/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
abroadz.com,238,expat/migrant guide,1,paycalculator.com.au,https://abroadz.com/posobiya_dlya_immigrantov_v_avstralii/,Пособия для иммигрантов в Австралии - Abroadz,http://www.paycalculator.com.au/,здесь,yes,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
lakshmanbasnet.com,233,expat/migrant guide,1,paycalculator.com.au,https://lakshmanbasnet.com/australia/international-student-guide/,The Ultimate Guide for International Students in Australia,http://paycalculator.com.au/,paycalculator.com.au,yes,0,/working-holiday-tax/,International student guide; pitch working-holiday/non-resident tax + embed,C
pinoyau.info,224,forum/community,1,paycalculator.com.au,https://pinoyau.info/discussion/6517/tax-question-permanent-vs-contract,Tax Question: Permanent vs Contract — Pinoy Australia Information Forum,http://www.paycalculator.com.au/,http://www.paycalculator.com.au/,no,0,/contractor-vs-employee-calculator/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
bluefoxfinance.com.au,214,finance/accounting blog,1,paycalculator.com.au,https://bluefoxfinance.com.au/useful-information/first-home-super-saver-scheme,First Home Super Saver (FHSS) Scheme | Blue Fox Finance,https://paycalculator.com.au/,Pay Calculator,yes,0,/salary-sacrifice-calculator/,Article links a pay calculator in context; suggest /salary-sacrifice-calculator/ as an up-to-date 2026-27 alternative/additional source,C
bertok.com,212,expat/migrant guide,1,paycalculator.com.au,https://bertok.com/keress-penzt-fizess-adot/jovedelem/,Jövedelem – Bevándorlás Ausztráliába,https://www.paycalculator.com.au/,https://www.paycalculator.com.au/,yes,5,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
boldernews.com,211,expat/migrant guide,1,paycalculator.com.au,https://boldernews.com/como-saber-o-custo-de-vida-de-uma-determinada-cidade-antes-de-imigrar-um-guia-para-brasileiros/,Como saber o custo de vida de uma determinada cidade antes de imigrar: Um guia para brasileiros - Bolder News,https://www.paycalculator.com.au/,PayCalculator,yes,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
news.china.com.au,189,news/media citation,1,paycalculator.com.au,https://news.china.com.au/104004.html,澳大利亚工资的秘密，不懂就等着吃亏吧Australia ChinaTown News 中文华人新闻 - NEWS.CHINA.COM.AU 这里是生活在墨尔本咱自家人的地盘！把客场当主场，视异乡为故园。澳洲唐人街 - 中华澳网 China Town News澳洲唐人街;澳大利亚华人社区和主流新闻媒体,http://www.paycalculator.com.au/,http://www.paycalculator.com.au/,yes,0,/australian-pay-report-2026/,Chinese-Australian news site; offer data table (report) for AU wage explainer,C
xpdite.net,188,forum/community,1,paycalculator.com.au,https://xpdite.net/forum/threads/wonen-in-perth-op-1-salaris-kan-dat.12117/page-2,"wonen in Perth op 1 salaris, kan dat? | Page 2 | XPdite - Emigratie Forum Australie",http://www.paycalculator.com.au/,http://www.paycalculator.com.au/,yes,10,/pay-calculator-wa/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
conradpramboeck.com,180,tool list/directory,1,paycalculator.com.au,https://conradpramboeck.com/brutto-netto-rechner-aus-aller-welt/,Brutto Netto Rechner aus aller Welt | Conrad Pramböck,http://www.paycalculator.com.au/,http://www.paycalculator.com.au/,yes,0,/,World gross-net calculators list; request AU entry update,C
rotadocanguru.com.br,153,expat/migrant guide,1,paycalculator.com.au,https://rotadocanguru.com.br/trabalhar-na-australia-salario-medio/,Trabalhar na Austrália - Salário Médio do País - Rota do Canguru,http://www.paycalculator.com.au/,ferramenta de cálculo de pagamento salarial da Austrália,yes,0,/average-salary-australia/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
lawanswers.com.au,150,forum/community,1,paycalculator.com.au,https://www.lawanswers.com.au/threads/need-some-help-with-tax-super-calculation.24326/,Need some help with tax/super calculation | Australia's #1 Legal Questions Forum | LawAnswers.com.au,https://paycalculator.com.au/,pay calculator,no,0,/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
natalyvlad.com,145,expat/migrant guide,1,paycalculator.com.au,https://www.natalyvlad.com/zarplata-v-avstralii-rabota-v-avstralii,Австралия Зарплата и Работа | NatalyVlad Blog,http://www.paycalculator.com.au/,http://www.paycalculator.com.au/,no,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
formatodecurriculum.com,143,expat/migrant guide,1,paycalculator.com.au,https://www.formatodecurriculum.com/como-calcular-el-sueldo-neto-en-australia/,▷ ¿Cómo Calcular El Sueldo Neto En Australia?,https://paycalculator.com.au/,aplicación,no,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
pangate.com,129,expat/migrant guide,1,paycalculator.com.au,https://pangate.com/1016,호주는 소득에 따른 세금 얼마나 내야 하나,http://www.paycalculator.com.au/,www.paycalculator.com.au,yes,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
westsydneyfootball.com,128,forum/community,1,paycalculator.com.au,https://www.westsydneyfootball.com/forums/topic/8808-squad-development-202425/page/21/,Squad Development 2024/25 - Page 21 - Western Sydney Wanderers - West Sydney Football,https://paycalculator.com.au/classic/index.html,pay calculator,no,20,/,Community thread; participate genuinely where relevant (no drop-links); low priority,C
vakitlice.com,109,expat/migrant guide,1,paycalculator.com.au,https://vakitlice.com/2016/12/29/avustralyada-is-aramak/,Avustralya’da İş Aramak – vakitlice,http://www.paycalculator.com.au/,http://www.paycalculator.com.au,yes,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
lifeofcuriosity.com,95,expat/migrant guide,1,paycalculator.com.au,https://lifeofcuriosity.com/tax-return-australia/,オーストラリアのタックスリターン方法を徹底解説【2025年度】 - Life of curiosity,https://paycalculator.com.au/,Pay calculator,yes,0,/tax-return-calculator/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
oakland.github.io,28,expat/migrant guide,1,paycalculator.com.au,https://oakland.github.io/2018/10/22/%E5%85%B3%E4%BA%8E%E5%8E%BB%E6%BE%B3%E6%B4%B2%E5%B7%A5%E4%BD%9C%E7%9A%84%E4%BA%8B%E6%83%85/,关于去澳洲工作的事情 | Steam,https://www.paycalculator.com.au/,在线的计算器,yes,20,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
sdhuang32.github.io,23,expat/migrant guide,1,paycalculator.com.au,https://sdhuang32.github.io/zh-tw/it-industry-briefing-work-conditions-and-quality-of-life-in-australia/,澳洲技術移民分享 (2) IT 產業概況、勞動條件、生活品質 - Michael’s Blog,https://paycalculator.com.au/,這個網站,yes,0,/tech-salary-guide-australia/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
iwokeupindownunder.com,0,expat/migrant guide,1,paycalculator.com.au,https://www.iwokeupindownunder.com/en,I WOKE UP IN DOWN UNDER -,https://paycalculator.com.au/,this one,yes,0,/,Migrant/expat guide links a pay calculator; offer take-home + average salary data for 2026-27 update,C
australianvisaonline.com,0,expat/migrant guide,1,wagecalculator.com.au,https://www.australianvisaonline.com/city-guides/canberra-guide,Living in Canberra as an Immigrant 2026,https://www.wagecalculator.com.au/public-service-salaries/aps,Wage Calculator: APS Salary Scales 2025-2026,no,5,/public-service-pay-scales/,Canberra city guide cites APS salary scales; pitch our public service pay scales + report state table,C
